Name,NAICSCode,Phone,WebAddress,Address,PostalCode,BldgNo,UnitNo,Latitude,Longitude
Rena Cuisine Inc.,722512,416-479-0852,,2708 Rena Rd,L4T 3J9,,,43.70978,-79.66239
A&W,722512,647-479-7881,www.aw.ca,1465 Aerowood Dr,L4W 1C2,,,43.64385,-79.63348
California Sandwiches,722512,905-564-3440,www.eatcalifornia.ca,5950 Dixie Rd,L4W 1E9,,,43.654313,-79.646306
Hilton Toronto Airport Hotel and Suites,721111,905-677-9900,www.toronto-apt.hilton.com,5875 Airport Rd,L4V 1N1,,,43.68598,-79.606999
"Mission Eatery, The",722512,416-648-4689,www.themissioneatery.com,5915 Airport Rd,L4V 1T1,,UnitNo 100,43.685912,-79.608963
HMS Host Corporation,722310,416-776-3100,www.hmshost.com,5945 Airport Rd,L4V 1R9,,UnitNo 174,43.686061,-79.610421
De Maple Lounge Restaurant,722512,905-678-1400,www.fourpoint.com/Torontoairport.com,6257 Airport Rd,L4V 1E4,,,43.689508,-79.622027
Comfort Inn,721114,905-677-7331,www.choicehotels.ca/cn568,6355 Airport Rd,L4V 1E4,,,43.690997,-79.625202
Pizza Way,722512,905-956-2340,www.jeypizzawayrestaurant.ca,6355 Airport Rd,L4V 1E4,,,43.690997,-79.625202
Pearson's Pub Sports Bar,722511,,,6355 Airport Rd,L4V 1E4,,,43.690997,-79.625202
Zet's Restaurant,722511,905-678-1114,www.zets.ca,6445 Airport Rd,L4V 1E4,,,43.692797,-79.627627
Nü,721111,905-612-1119,www.nuhoteltoronto.com,6465 Airport Rd,L4V 1E4,,UnitNo 102,43.6931,-79.628032
Northwest Coffee Shop,722512,905-672-1774,,6725 Airport Rd,L4V 1V2,,,43.69827,-79.635
Tim Horton's,722512,905-678-6298,www.timhortons.ca,6767 Airport Rd,L4V 1E6,,,43.699279,-79.636359
Malton Sweets & Samosa Factory,722512,905-673-2136,,7052 Airport Rd,L4T 2G8,,UnitNo B,43.704618,-79.643648
China Garden Restaurant,722511,905-678-1678,,7071 Airport Rd,L4T 4J3,,UnitNo 1,43.70518,-79.64257
Mughal Mahal Indian Cuisine,722512,905-678-6666,,7071 Airport Rd,L4T 4J3,,UnitNo 11,43.70518,-79.64257
Lovely Sweets Restaurant,722512,905-673-6677,,7072 Airport Rd,L4T 2G8,,,43.70526,-79.644278
Chat Hut,722512,905-672-2428,www.chathut.ca,7106 Airport Rd,L4T 2G8,,,43.706059,-79.645539
Sweet India Restaurant,722512,905-673-0041,www.sweetindia.com,7126 Airport Rd,L4T 2H1,,,43.706231,-79.645819
Asian Sweets & Restaurant,722512,905-671-2923,,7148 Airport Rd,L4T 2H1,,,43.706529,-79.646226
Airport Bukhara,722511,905-678-7889,www.airportbukhara.com,7166 Airport Rd,L4T 2H2,,,43.707081,-79.646986
Lykn Chicken,722512,905-676-8181,www.lyknchicken.com,7460 Airport Rd,L4T 2H5,,UnitNo A,43.713051,-79.655095
Quiznos Sub,722512,905-908-2370,,7460 Airport Rd,L4T 2H5,,UnitNo B,43.713051,-79.655095
Tim Horton's,722512,905-677-6330,www.timhortons.com,7480 Airport Rd,L4T 2H5,,,43.71328,-79.655403
J M V Food Service Canada Ltd.,722310,905-629-1208,www.torriecoffee.com,5594 Ambler Dr,L4W 2K9,,,43.64402,-79.63911
Quality Inn & Suites,721111,905-238-3500,www.choicehotels.ca/cn516,5585 Ambler Dr,L4W 3Z1,,,43.64563,-79.63839
Caribbean Sunset Restaurant,722511,905-564-7800,,1001 Meyerside Dr,L5T 1J6,,UnitNo 8&9,43.65148,-79.665
Skymark Deli,722512,905-363-1081,www.skymarkdeli.com,2000 Argentia Rd,L5N 1P7,Plaza 2,UnitNo 103,43.599211,-79.7423
Affy's Premium Grill,722511,905-997-7774,,2283 Argentia Rd,L5N 5Z2,,UnitNo 9A,43.59869,-79.74775
Four Points by Sheraton Mississauga Meadowvale,721111,905-858-2424,www.fourpointsmeadowvale.com,2501 Argentia Rd,L5N 4G8,,,43.600939,-79.755807
Cafe Atlantis,722410,905-670-6600,,5745 Atlantic Dr,L4W 1H3,,,43.654265,-79.636169
China China Palace,722512,905-897-7888,www.chinachinapalace.com,1125 Bloor St,L4Y 2N6,,UnitNo 8A,43.610972,-79.600067
2-4-1 Pizza,722512,905-897-2320,www.241pizza.com,1125 Bloor St,L4Y 2N6,,UnitNo 17,43.610972,-79.600067
Fred's Bar & Grill,722512,905-279-0097,www.fredsbarandgrill.ca,636 Bloor St,L5A 3V9,,,43.599403,-79.612019
All Serbian Saints Serbian Centre,722320,905-272-5944,www.sabornik.com,1375 Blundell Rd,L4Y 1M6,,,43.607431,-79.58188
Sushijun Express,722512,905-670-5550,www.sushijunexpress.com,1415 Bonhill Rd,L5T 1L3,,UnitNo 19,43.660398,-79.651133
Ashley Bay Corporate Catering,722310,,www.ashleybaycatering.com,1640 Bonhill Rd,L5T 1C8,,UnitNo 6,43.66477,-79.65255
Europa Convention Centre,722320,905-677-9100,www.europaconventioncentre.com,7050 Bramalea Rd,L5S 1S9,Bldg B,UnitNo 39 to 41,43.68477,-79.66522
Joe's Restaurant,722512,905-673-6999,,7050 Bramalea Rd,L5S 1T1,Bldg A,UnitNo 31,43.68521,-79.664088
Tandoori Mirchi,722512,905-672-2220,www.tandoorimirchis.com,7305 Bramalea Rd,L5S 1W4,,UnitNo 6,43.691007,-79.671809
Tim Horton's,722512,905-678-0151,www.qsrgroup.ca,5869 Airport Rd,L4V 1C9,,,43.68638,-79.60755
Columbus Bakery,722511,905-890-6006,,40 Bristol Rd E,L4Z 3K8,,UnitNo 2,43.61385,-79.66202
Subway,722512,905-890-9133,www.subway.com,40 Bristol Rd E,L4Z 3K8,,UnitNo 3,43.61385,-79.66202
McDonald's,722512,905-568-8628,www.mcdonalds.ca,44 Bristol Rd E,L4Z 3K8,,,43.61543,-79.66107
Subway,722512,905-813-0511,www.subway.com,1525 Bristol Rd W,L5M 4Z1,,UnitNo 10,43.58612,-79.69855
Pizza Hut,722512,905-542-8100,www.pizzahut.ca,1525 Bristol Rd W,L5M 4Z1,,UnitNo 1,43.58612,-79.69855
"Bristol Bar & Grill, The",722511,905-890-2500,www.bristolbar.ca,512 Bristol Rd W,L5R 3Z1,,UnitNo 13 to 15,43.60239,-79.6717
Holiday Inn - Mississauga Toronto West,721111,905-890-5700,www.hitorontowest.ca,100 Britannia Rd E,L4Z 2G1,,,43.628308,-79.677278
Fuzion Banquets,722320,905-564-1122,www.fuziongroup.ca,1300 Britannia Rd E,L4W 1C8,,UnitNo 1,43.65155,-79.6514
Kalypso Hut,722512,905-790-2202,www.kalypsohut.com,1455 Britannia Rd E,L4W 1C7,,UnitNo 1,43.65466,-79.64912
Sami's Kitchen,722512,905-670-7565,www.samiscafe.ca,1801 Britannia Rd E,L4W 1S6,,UnitNo 1,43.66218,-79.641
Wendy's,722512,905-712-4312,www.wendys.com,44 Britannia Rd E,L4Z 3W7,,,43.626638,-79.679054
Tim Horton's,722512,905-890-5239,www.timhortons.com,44 Britannia Rd E,L4Z 3W7,,,43.626638,-79.679054
Quality Inn Airport West,721111,905-890-1200,www.qualityinnairportwest.com,50 Britannia Rd E,L4Z 2G2,,,43.627223,-79.678494
New Super Choice Pizza,722512,905-567-7575,www.newsuperchoicepizza.com,1201 Britannia Rd W,L5V 1N2,,UnitNo 9,43.602762,-79.706293
New India Sweets and Restaurant,722511,905-814-1730,www.newindiasweetsrestaurant.com,1201 Britannia Rd W,L5V 1N2,,UnitNo 17,43.602762,-79.706293
San Francesco Foods,722512,905-858-4445,,1201 Britannia Rd W,L5V 1N2,,UnitNo 6&7,43.602762,-79.706293
Yorkshire Arms British Pub,722512,905-286-9799,,1201 Britannia Rd W,L5V 1N2,,UnitNo 1,43.602762,-79.706293
Thai Rice,722512,905-821-8999,www.thairice.ca,1201 Britannia Rd W,L5V 1N2,,UnitNo 2,43.602762,-79.706293
Insushi Japanese & Korean,722511,905-567-7890,www.sushiinsushi.ca,2310 Battleford Rd,L5N 3K6,,UnitNo 5,43.58547,-79.74055
Pane E Vino Ristorante,722512,905-502-5656,www.pane-vino.ca,151 Brunel Rd,L4Z 2H6,,UnitNo 14&15,43.628126,-79.673091
Mississauga Grand Banquet & Convention Centre,722320,905-501-0043,www.mississaugagrand.com,35 Brunel Rd,L4Z 3E8,,UnitNo 6&7,43.625807,-79.676101
Salt & Pepper Hakka Style Chinese Cuisine,722511,905-568-9900,www.saltpeppermississauga.com,35 Brunel Rd,L4Z 3E8,,UnitNo 4A & 4B,43.625807,-79.676101
Nirvana the Flavours of India,722511,905-501-5500,www.nirvanatheflavoursofindia.com,35 Brunel Rd,L4Z 3E8,,UnitNo 5,43.625807,-79.676101
Subway,722512,905-501-0781,www.subway.com,35 Brunel Rd,L4Z 3E8,,UnitNo 1,43.625807,-79.676101
El Sombrero Food Company,722511,905-502-0011,www.elsombrero.ca,35 Brunel Rd,L4Z 3E8,,UnitNo 1A,43.625807,-79.676101
Shanghai House Chinese Restaurant,722511,905-270-1906,,1014 Burnhamthorpe Rd E,L4Y 2X6,,,43.614663,-79.611145
Applewood Fish & Chips,722512,905-277-4045,,1020 Burnhamthorpe Rd E,L4Y 2X6,,,43.614663,-79.611145
McDonald's (Nadeau Foods Inc.),722512,905-270-9614,,377 Burnhamthorpe Rd E,L5A 3Y1,,UnitNo 17,43.601814,-79.625545
"Great Wok of China, The",722511,905-276-7665,www.thegreatwokofchina.com,377 Burnhamthorpe Rd E,L5A 3Y1,,UnitNo 3,43.601814,-79.625545
Subway,722512,905-897-0648,www.subway.com,1100 Burnhamthorpe Rd W,L5C 4G4,,UnitNo 11B,43.570163,-79.662094
Mongolian Hot Pot,722511,905-232-7775,,1100 Burnhamthorpe Rd W,L5C 4G4,,,43.570163,-79.662094
Tim Horton's,722512,905-897-7677,,1170 Burnhamthorpe Rd W,L5C 4E6,,,43.568897,-79.663568
Swiss Chalet,722511,905-270-1229,www.swisschalet.ca,1170 Burnhamthorpe Rd W,L5C 4E6,,UnitNo 12 to 14,43.568897,-79.663568
Asian Gourmet,722512,905-607-3799,,2150 Burnhamthorpe Rd W,L5L 3A2,Bldg K,UnitNo H12,43.545319,-79.684671
Subway,722512,905-828-8782,www.subway.com,2150 Burnhamthorpe Rd W,L5L 3A2,Bldg K,UnitNo H24,43.545319,-79.684671
Alioli Ristorante CafW,722511,905-281-1122,www.alioliristorante.com,350 Burnhamthorpe Rd W,L5B 3J1,,UnitNo 123,43.58547,-79.64386
Anjappar South Indian Cuisine,722511,905-272-2232,www.anjappercanada.com,4310 Sherwoodtowne Blvd,L4Z 4C4,,UnitNo 1,43.59964,-79.64208
Select Sandwich Corp,722512,905-566-1400,www.selectsandwich.com,50 Burnhamthorpe Rd W,L5B 3C2,,UnitNo 336,43.59197,-79.63579
Noodle Wok,722511,905-896-8915,,600 Burnhamthorpe Rd W,L5B 2C4,,UnitNo 6,43.58057,-79.64937
